Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO217-246_MT_1.2-10_20210701,G1,Na夫e_P1.2-9,Na夫e_P1.2-9,31.06547364,24.01877107,7.05,,,,-0.66,-0.57,1.49,,,
ASO217-246_MT_1.2-10_20210701,G2,Na夫e_P1.2-9,Na夫e_P1.2-9,31.05697784,23.8990562,7.16,,,,-0.54,,,,,
ASO217-246_MT_1.2-10_20210701,G3,Na夫e_P1.2-9,Na夫e_P1.2-9,31.1393904,23.96150013,7.18,,,,-0.52,,,,,
ASO217-246_MT_1.2-10_20210701,G4,Na夫e_P1.2-9,Na夫e_P1.2-9,30.2872293,23.19887229,7.09,,,,-0.61,-0.66,1.58,,,
ASO217-246_MT_1.2-10_20210701,G5,Na夫e_P1.2-9,Na夫e_P1.2-9,30.24971938,23.26959517,6.98,,,,-0.72,,,,,
ASO217-246_MT_1.2-10_20210701,G6,Na夫e_P1.2-9,Na夫e_P1.2-9,30.30876932,23.24850045,7.06,,,,-0.64,,,,,
ASO217-246_MT_1.2-10_20210701,G7,Na夫e_P1.2-9,Na夫e_P1.2-9,29.96195236,22.8618673,7.10,,,,-0.60,-0.53,1.44,,,
ASO217-246_MT_1.2-10_20210701,G8,Na夫e_P1.2-9,Na夫e_P1.2-9,29.96151886,22.88929748,7.07,,,,-0.63,,,,,
ASO217-246_MT_1.2-10_20210701,G9,Na夫e_P1.2-9,Na夫e_P1.2-9,30.28890278,22.9426324,7.35,,,,-0.36,,,,,
ASO217-246_MT_1.2-10_20210701,H1,Na夫e_P1.2-9,Na夫e_P1.2-9,31.96564645,24.24601037,7.72,,,,0.02,-0.06,1.04,,,
ASO217-246_MT_1.2-10_20210701,H2,Na夫e_P1.2-9,Na夫e_P1.2-9,31.82407279,24.21899245,7.61,,,,-0.10,,,,,
ASO217-246_MT_1.2-10_20210701,H3,Na夫e_P1.2-9,Na夫e_P1.2-9,31.87173313,24.2646108,7.61,,,,-0.10,,,,,
ASO217-246_MT_1.2-10_20210701,H4,Na夫e_P1.2-9,Na夫e_P1.2-9,31.68154283,23.91422849,7.77,,,,0.06,0.13,0.91,,,
ASO217-246_MT_1.2-10_20210701,H5,Na夫e_P1.2-9,Na夫e_P1.2-9,31.8128363,23.89347987,7.92,,,,0.22,,,,,
ASO217-246_MT_1.2-10_20210701,H6,Na夫e_P1.2-9,Na夫e_P1.2-9,31.70785532,23.89494161,7.81,,,,0.11,,,,,
ASO217-246_MT_1.2-10_20210701,H7,Na夫e_P1.2-9,Na夫e_P1.2-9,30.16465205,22.98281932,7.18,,,,-0.52,-0.52,1.44,,,
ASO217-246_MT_1.2-10_20210701,H8,Na夫e_P1.2-9,Na夫e_P1.2-9,30.0814147,22.94533097,7.14,,,,-0.57,,,,,
ASO217-246_MT_1.2-10_20210701,H9,Na夫e_P1.2-9,Na夫e_P1.2-9,30.32998509,23.11476756,7.22,,,,-0.49,,,,,
ASO217-246_MT_1.2-10_20210701,G10,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,33.60465831,24.10975773,9.49,,,,1.79,1.59,0.33,,,
ASO217-246_MT_1.2-10_20210701,G11,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,33.53081165,24.24183796,9.29,,,,1.59,,,,,
ASO217-246_MT_1.2-10_20210701,G12,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,33.34857302,24.25832684,9.09,,,,1.39,,,,,
ASO217-246_MT_1.2-10_20210701,H10,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,34.96333847,25.26204948,9.70,,,,2.00,2.10,0.23,,,
ASO217-246_MT_1.2-10_20210701,H11,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,35.29110585,25.23735965,10.05,,,,2.35,,,,,
ASO217-246_MT_1.2-10_20210701,H12,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,34.94256982,25.27681686,9.67,,,,1.96,,,,,
ASO217-246_MT_1.2-10_20210701,G13,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,33.10903096,25.43230712,7.68,7.60,7.70,0.17,-0.03,-0.10,1.07,,,
ASO217-246_MT_1.2-10_20210701,G14,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,32.91462563,25.53432113,7.38,,,,-0.32,,,,,
ASO217-246_MT_1.2-10_20210701,G15,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,33.30997962,25.56671539,7.74,,,,0.04,,,,,
