Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,dCt Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.3_P1+2_Total_20210730,G1,Naïve_P2.1-1,Naïve_P2.1-1,,29.63707112,23.05529027,6.581780845,6.570098073,6.509869674,0.093491419,0.071911171,0.060228399,0.959112266
Rd2.1.3_P1+2_Total_20210730,G2,Naïve_P2.1-1,Naïve_P2.1-1,,29.65555323,23.11631767,6.539235556,,,,0.029365882,,
Rd2.1.3_P1+2_Total_20210730,G3,Naïve_P2.1-1,Naïve_P2.1-1,,29.73174519,23.14246737,6.589277817,,,,0.079408143,,
Rd2.1.3_P1+2_Total_20210730,G4,Naïve_P2.1-1,Naïve_P2.1-1,,29.34769832,22.99538931,6.352309004,6.37419927,,,-0.15756067,-0.135670404,1.098603204
Rd2.1.3_P1+2_Total_20210730,G5,Naïve_P2.1-1,Naïve_P2.1-1,,29.36506291,23.03829399,6.326768915,,,,-0.183100759,,
Rd2.1.3_P1+2_Total_20210730,G6,Naïve_P2.1-1,Naïve_P2.1-1,,29.50692173,23.06340184,6.443519891,,,,-0.066349783,,
Rd2.1.3_P1+2_Total_20210730,H1,Naïve_P2.1-1,Naïve_P2.1-1,,29.67194306,23.10369709,6.568245974,6.573496944,,,0.0583763,0.06362727,0.956855336
Rd2.1.3_P1+2_Total_20210730,H2,Naïve_P2.1-1,Naïve_P2.1-1,,29.6311591,23.16185082,6.469308281,,,,-0.040561393,,
Rd2.1.3_P1+2_Total_20210730,H3,Naïve_P2.1-1,Naïve_P2.1-1,,29.84739777,23.16446119,6.682936576,,,,0.173066902,,
Rd2.1.3_P1+2_Total_20210730,H4,Naïve_P2.1-1,Naïve_P2.1-1,,29.70559536,23.06820627,6.63738908,6.521684409,,,0.127519406,0.011814735,0.991844091
Rd2.1.3_P1+2_Total_20210730,H5,Naïve_P2.1-1,Naïve_P2.1-1,,29.5854724,23.12621914,6.459253254,,,,-0.05061642,,
Rd2.1.3_P1+2_Total_20210730,H6,Naïve_P2.1-1,Naïve_P2.1-1,,29.64535286,23.17694197,6.468410894,,,,-0.04145878,,
Rd2.1.3_P1+2_Total_20210730,E10,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.51811734,23.33730763,7.180809707,,,,0.670940033,0.641025079,0.641257154
Rd2.1.3_P1+2_Total_20210730,E11,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.39368288,23.44021881,6.953464071,,,,0.443594397,,
Rd2.1.3_P1+2_Total_20210730,E12,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.81102978,23.4926193,7.318410481,,,,0.808540807,,
Rd2.1.3_P1+2_Total_20210730,E22,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.54416018,23.59991545,7.944244732,,,,1.434375058,1.222644011,0.428496697
Rd2.1.3_P1+2_Total_20210730,E23,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.16347611,23.67202977,7.491446334,,,,0.98157666,,
Rd2.1.3_P1+2_Total_20210730,E24,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.48712649,23.7252765,7.761849989,,,,1.251980315,,
Rd2.1.3_P1+2_Total_20210730,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.72870093,23.92696238,9.801738553,,,,3.291868879,3.079977347,0.118259063
Rd2.1.3_P1+2_Total_20210730,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.71367472,23.98572147,9.727953254,,,,3.21808358,,
Rd2.1.3_P1+2_Total_20210730,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.22923236,23.9893831,9.239849256,,,,2.729979582,,
Rd2.1.3_P1+2_Total_20210730,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.8054852,24.12498685,9.680498353,,,,3.170628679,3.222253417,0.107153181
Rd2.1.3_P1+2_Total_20210730,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.85466955,24.1639098,9.690759742,,,,3.180890068,,
Rd2.1.3_P1+2_Total_20210730,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,34.07260916,24.24749798,9.825111178,,,,3.315241504,,
Rd2.1.3_P1+2_Total_20210730,G10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.05736259,22.95281688,8.104545711,,,,1.594676037,1.594602816,0.331113373
Rd2.1.3_P1+2_Total_20210730,G11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.13070862,23.00747969,8.12322893,,,,1.613359256,,
Rd2.1.3_P1+2_Total_20210730,G12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.1766041,23.09096127,8.085642829,,,,1.575773155,,
Rd2.1.3_P1+2_Total_20210730,H10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,32.8331266,23.87373753,8.959389062,,,,2.449519388,2.467030782,0.180863002
Rd2.1.3_P1+2_Total_20210730,H11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,32.87764413,23.94915498,8.928489153,,,,2.418619479,,
Rd2.1.3_P1+2_Total_20210730,H12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,32.99617701,23.95335386,9.042823153,,,,2.532953479,,
Rd2.1.3_P1+2_Total_20210730,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,29.94223129,22.80662079,7.135610508,,,,0.625740834,0.88466599,0.541612901
Rd2.1.3_P1+2_Total_20210730,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,29.95464411,22.77997879,7.174665321,,,,0.664795647,,
Rd2.1.3_P1+2_Total_20210730,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.55594738,22.68261621,7.873331162,,,,1.363461488,,
Rd2.1.3_P1+2_Total_20210730,H13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.97163653,23.53498954,8.436646989,,,,1.926777315,1.777196269,0.291749832
Rd2.1.3_P1+2_Total_20210730,H14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.74170907,23.64192293,8.099786141,,,,1.589916467,,
Rd2.1.3_P1+2_Total_20210730,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.98132935,23.65656466,8.324764699,,,,1.814895025,,
Rd2.1.3_P1+2_Total_20210730,G16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.90432051,23.016226,6.888094513,,,,0.378224839,0.383599689,0.766522641
Rd2.1.3_P1+2_Total_20210730,G17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.86187344,22.94013695,6.921736484,,,,0.41186681,,
Rd2.1.3_P1+2_Total_20210730,G18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.88765313,23.01707604,6.870577092,,,,0.360707418,,
Rd2.1.3_P1+2_Total_20210730,H16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.77581331,22.86833329,6.907480018,,,,0.397610344,0.441468844,0.736384495
Rd2.1.3_P1+2_Total_20210730,H17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.86168398,22.95705535,6.904628638,,,,0.394758964,,
Rd2.1.3_P1+2_Total_20210730,H18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.01034619,22.96843929,7.041906898,,,,0.532037224,,
Rd2.1.3_P1+2_Total_20210730,F10,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.49105137,23.08027558,7.410775789,,,,0.900906115,0.984304611,0.505469304
Rd2.1.3_P1+2_Total_20210730,F11,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.73368771,23.1386504,7.595037313,,,,1.085167639,,
Rd2.1.3_P1+2_Total_20210730,F12,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.70539115,23.2286814,7.476709753,,,,0.966840079,,
