Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO204-238_total_1.2-9_20210701,G1,Na夫e_P1.2-7,Na夫e_P1.2-7,29.10666039,23.01185756,6.09,,,,-1.78,-1.74,3.35
ASO204-238_total_1.2-9_20210701,G2,Na夫e_P1.2-7,Na夫e_P1.2-7,29.23053757,23.08093641,6.15,,,,-1.73,,
ASO204-238_total_1.2-9_20210701,G3,Na夫e_P1.2-7,Na夫e_P1.2-7,29.18979045,23.03149027,6.16,,,,-1.72,,
ASO204-238_total_1.2-9_20210701,G4,Na夫e_P1.2-7,Na夫e_P1.2-7,28.88975585,22.74892901,6.14,,,,-1.74,-1.69,3.22
ASO204-238_total_1.2-9_20210701,G5,Na夫e_P1.2-7,Na夫e_P1.2-7,28.9924969,22.77616965,6.22,,,,-1.66,,
ASO204-238_total_1.2-9_20210701,G6,Na夫e_P1.2-7,Na夫e_P1.2-7,29.06789989,22.85522767,6.21,,,,-1.66,,
ASO204-238_total_1.2-9_20210701,G7,Na夫e_P1.2-7,Na夫e_P1.2-7,29.12183289,23.01080853,6.11,,,,-1.77,-1.78,3.43
ASO204-238_total_1.2-9_20210701,G8,Na夫e_P1.2-7,Na夫e_P1.2-7,29.0988332,23.02062357,6.08,,,,-1.80,,
ASO204-238_total_1.2-9_20210701,G9,Na夫e_P1.2-7,Na夫e_P1.2-7,29.18759764,23.08054108,6.11,,,,-1.77,,
ASO204-238_total_1.2-9_20210701,H1,Na夫e_P1.2-7,Na夫e_P1.2-7,29.39448062,23.1985393,6.20,,,,-1.68,-1.60,3.03
ASO204-238_total_1.2-9_20210701,H2,Na夫e_P1.2-7,Na夫e_P1.2-7,29.57307743,23.1719887,6.40,,,,-1.48,,
ASO204-238_total_1.2-9_20210701,H3,Na夫e_P1.2-7,Na夫e_P1.2-7,29.46397252,23.22985828,6.23,,,,-1.64,,
ASO204-238_total_1.2-9_20210701,H4,Na夫e_P1.2-7,Na夫e_P1.2-7,29.33996202,23.07293497,6.27,,,,-1.61,-1.50,2.84
ASO204-238_total_1.2-9_20210701,H5,Na夫e_P1.2-7,Na夫e_P1.2-7,29.53017183,23.1274678,6.40,,,,-1.47,,
