Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO204-238_MT_1.2-9_20210701,G1,Na夫e_P1.2-7,Na夫e_P1.2-7,30.25783041,23.01038835,7.25,,,,-0.36,-0.48,1.40,,,
ASO204-238_MT_1.2-9_20210701,G2,Na夫e_P1.2-7,Na夫e_P1.2-7,30.14405363,23.07976518,7.06,,,,-0.54,,,,,
ASO204-238_MT_1.2-9_20210701,G3,Na夫e_P1.2-7,Na夫e_P1.2-7,30.14834553,23.09071609,7.06,,,,-0.55,,,,,
ASO204-238_MT_1.2-9_20210701,G4,Na夫e_P1.2-7,Na夫e_P1.2-7,30.04332989,22.76652243,7.28,,,,-0.33,-0.47,1.38,,,
ASO204-238_MT_1.2-9_20210701,G5,Na夫e_P1.2-7,Na夫e_P1.2-7,29.88866652,22.80764645,7.08,,,,-0.52,,,,,
ASO204-238_MT_1.2-9_20210701,G6,Na夫e_P1.2-7,Na夫e_P1.2-7,29.94400063,22.88470325,7.06,,,,-0.55,,,,,
ASO204-238_MT_1.2-9_20210701,G7,Na夫e_P1.2-7,Na夫e_P1.2-7,30.07440319,23.04206622,7.03,,,,-0.57,-0.62,1.54,,,
ASO204-238_MT_1.2-9_20210701,G8,Na夫e_P1.2-7,Na夫e_P1.2-7,30.06414692,23.08264339,6.98,,,,-0.62,,,,,
ASO204-238_MT_1.2-9_20210701,G9,Na夫e_P1.2-7,Na夫e_P1.2-7,30.0557339,23.12022794,6.94,,,,-0.67,,,,,
ASO204-238_MT_1.2-9_20210701,H1,Na夫e_P1.2-7,Na夫e_P1.2-7,30.45090148,23.21767622,7.23,,,,-0.37,-0.44,1.35,,,
ASO204-238_MT_1.2-9_20210701,H2,Na夫e_P1.2-7,Na夫e_P1.2-7,30.30704598,23.24010734,7.07,,,,-0.54,,,,,
ASO204-238_MT_1.2-9_20210701,H3,Na夫e_P1.2-7,Na夫e_P1.2-7,30.46038772,23.25755137,7.20,,,,-0.40,,,,,
ASO204-238_MT_1.2-9_20210701,H4,Na夫e_P1.2-7,Na夫e_P1.2-7,30.66425592,23.10754824,7.56,,,,-0.05,-0.24,1.18,,,
ASO204-238_MT_1.2-9_20210701,H5,Na夫e_P1.2-7,Na夫e_P1.2-7,30.36320259,23.11891643,7.24,,,,-0.36,,,,,
ASO204-238_MT_1.2-9_20210701,H6,Na夫e_P1.2-7,Na夫e_P1.2-7,30.53242108,23.23358772,7.30,,,,-0.31,,,,,
ASO204-238_MT_1.2-9_20210701,H7,Na夫e_P1.2-7,Na夫e_P1.2-7,30.43713675,23.12883623,7.31,,,,-0.30,-0.24,1.18,,,
ASO204-238_MT_1.2-9_20210701,H8,Na夫e_P1.2-7,Na夫e_P1.2-7,30.52964113,23.11429191,7.42,,,,-0.19,,,,,
ASO204-238_MT_1.2-9_20210701,H9,Na夫e_P1.2-7,Na夫e_P1.2-7,30.55878571,23.18109824,7.38,,,,-0.23,,,,,
ASO204-238_MT_1.2-9_20210701,G10,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,35.63341382,25.79031001,9.84,,,,2.24,1.68,0.31,,,
ASO204-238_MT_1.2-9_20210701,G11,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,34.97863069,25.81185531,9.17,,,,1.56,,,,,
ASO204-238_MT_1.2-9_20210701,G12,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,34.71611561,25.86931563,8.85,,,,1.24,,,,,
ASO204-238_MT_1.2-9_20210701,H10,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,33.80508102,24.80580355,9.00,,,,1.39,1.59,0.33,,,
ASO204-238_MT_1.2-9_20210701,H11,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,34.30717837,24.79108998,9.52,,,,1.91,,,,,
ASO204-238_MT_1.2-9_20210701,H12,Ionis1375651_10_P1.2-7,Ionis1375651_10uM_P1.2-7,33.90682502,24.82855124,9.08,,,,1.47,,,,,
ASO204-238_MT_1.2-9_20210701,G13,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.50982695,25.7422958,7.77,7.56,7.60,0.32,0.16,-0.04,1.03,,,
ASO204-238_MT_1.2-9_20210701,G14,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.30433503,25.7601704,7.54,,,,-0.06,,,,,
ASO204-238_MT_1.2-9_20210701,G15,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.15289877,25.78427897,7.37,,,,-0.24,,,,,
ASO204-238_MT_1.2-9_20210701,G16,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.48778816,25.57215827,7.92,8.02,,,0.31,0.41,0.75,,,
ASO204-238_MT_1.2-9_20210701,G17,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.61435164,25.6076448,8.01,,,,0.40,,,,,
ASO204-238_MT_1.2-9_20210701,G18,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.82488786,25.69167735,8.13,,,,0.53,,,,,
ASO204-238_MT_1.2-9_20210701,H13,Ionis676630_10_P1.2-7,Ionis676630_10uM_P1.2-7,33.66625477,26.56207725,7.10,7.23,,,-0.50,-0.37,1.30,,,
